# Simulation 18 (Up to date),,,,,,,,,,
# 308 data points written for 5 variables.,,,,,,,,,,
#,,,,,,,,,,
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Motor mass (g),Forza d'attrito (N),,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,
0.01,0.001,0.232,93.692,1.39E-05,,,,,,
0.02,0.008,1.054,93.373,9.90E-04,,,,,,
# Event LIFTOFF occurred at t=0.03 seconds,,,,,,,,,,
3.248,184.721,49.102,55.7,1.599,,,,,,
3.298,187.161,48.487,55.7,1.558,,,,,,
3.348,189.57,47.874,55.7,1.519,,,,,,
3.398,191.949,47.264,55.7,1.481,,,,,,
3.448,194.297,46.656,55.7,1.442,,,,,,
3.498,196.614,46.05,55.7,1.405,,,,,,
3.548,198.902,45.447,55.7,1.368,,,,,,
3.598,201.159,44.847,55.7,1.331,,,,,,
3.648,203.387,44.252,55.7,1.295,,,,,,
3.698,205.584,43.66,55.7,1.261,,,,,,
3.748,207.753,43.072,55.7,1.228,,,,,,
3.798,209.892,42.488,55.7,1.194,,,,,,
3.848,212.001,41.905,55.7,1.16,,,,,,
3.898,214.082,41.325,55.7,1.127,,,,,,
3.948,216.134,40.746,55.7,1.096,,,,,,
3.998,218.157,40.17,55.7,1.065,,,,,,
4.048,220.151,39.596,55.7,1.035,,,,,,
4.098,222.116,39.023,55.7,1.005,,,,,,
4.148,224.053,38.453,55.7,0.976,,,,,,
4.198,225.962,37.885,55.7,0.947,,,,,,
4.248,227.842,37.321,55.7,0.919,,,,,,
4.298,229.694,36.758,55.7,0.892,,,,,,
4.348,231.518,36.199,55.7,0.867,,,,,,
4.398,233.314,35.642,55.7,0.842,,,,,,
4.448,235.082,35.088,55.7,0.818,,,,,,
4.498,236.823,34.535,55.7,0.795,,,,,,
4.548,238.536,33.984,55.7,0.77,,,,,,
4.598,240.221,33.434,55.7,0.747,,,,,,
4.648,241.879,32.886,55.7,0.724,,,,,,
4.698,243.51,32.339,55.7,0.702,,,,,,
4.748,245.113,31.793,55.7,0.68,,,,,,
4.798,246.689,31.248,55.7,0.659,,,,,,
4.848,248.238,30.706,55.7,0.638,,,,,,
4.898,249.76,30.166,55.7,0.617,,,,,,
4.948,251.254,29.628,55.7,0.597,,,,,,
4.998,252.722,29.092,55.7,0.578,,,,,,
5.048,254.164,28.558,55.7,0.558,,,,,,
5.098,255.578,28.025,55.7,0.538,,,,,,
5.148,256.966,27.493,55.7,0.52,,,,,,
5.198,258.327,26.963,55.7,0.501,,,,,,
5.248,259.662,26.434,55.7,0.482,,,,,,
5.298,260.971,25.907,55.7,0.465,,,,,,
5.348,262.253,25.381,55.7,0.448,,,,,,
5.398,263.509,24.857,55.7,0.431,,,,,,
5.448,264.739,24.335,55.7,0.415,,,,,,
5.498,265.943,23.814,55.7,0.399,,,,,,
5.548,267.12,23.294,55.7,0.385,,,,,,
5.598,268.272,22.777,55.7,0.369,,,,,,
5.648,269.398,22.26,55.7,0.354,,,,,,
5.698,270.498,21.744,55.7,0.339,,,,,,
5.748,271.572,21.229,55.7,0.324,,,,,,
5.798,272.621,20.715,55.7,0.31,,,,,,
5.848,273.644,20.202,55.7,0.297,,,,,,
5.898,274.641,19.69,55.7,0.284,,,,,,
5.948,275.613,19.179,55.7,0.27,,,,,,
5.998,276.559,18.668,55.7,0.257,,,,,,
6.048,277.48,18.159,55.7,0.246,,,,,,
6.098,278.375,17.651,55.7,0.235,,,,,,
